	X09_11_N_N_0	X09_13_N_N_0	X09_24_N_N_0	X09_8_N_N_0	X10_11_N_N_0	X10_13_N_N_0	X10_24_N_N_0	X10_8_N_N_0	X11_11_N_N_0	X11_13_N_N_0	X11_24_N_N_0	X11_8_N_N_0	X12_11_N_N_0	X12_13_N_N_0	X12_24_N_N_0	X12_8_N_N_0	X13_11_N_N_0	X13_13_N_N_0	X13_24_N_N_0	X13_8_N_N_0	X14_11_N_N_0	X14_13_N_N_0	X14_24_N_N_0	X14_8_N_N_0
Zotu1514	1	3	2	1	0	0	0	2	0	0	1	2	5	4	0	4	5	7	1	7	3	3	0	15
Zotu10719	0	1	1	0	0	0	1	1	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0
Zotu4460	2	0	0	3	0	0	1	2	0	2	3	0	0	0	0	0	1	1	0	2	0	0	0	0
Zotu3601	2	0	1	3	1	0	0	2	2	1	1	1	1	0	1	0	4	3	1	1	2	0	2	1
Zotu16822	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0
Zotu16161	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	1	1	0
Zotu1277	2	3	0	1	1	2	2	1	4	0	1	1	8	2	0	4	4	14	0	9	13	6	9	6
Zotu14434	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Zotu14489	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0
Zotu8157	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	1	4	0	4	0	0
Zotu8467	1	0	1	0	0	1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
Zotu13448	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10691	2	6	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Zotu8147	4	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	6	0	1	0	0	0	1
Zotu7964	0	1	0	1	0	0	0	5	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0
Zotu17975	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu17038	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	3	0	2
Zotu6855	0	0	0	2	0	1	0	0	0	0	2	0	1	2	0	0	1	1	1	1	0	0	0	2
Zotu2299	1	1	1	0	1	0	1	0	0	4	3	3	2	0	0	3	0	3	1	2	0	1	0	1
Zotu10743	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	0	0
Zotu3705	1	0	6	0	0	10	3	1	7	5	1	1	1	2	8	0	1	0	0	0	0	1	0	1
Zotu16348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Zotu4408	2	0	0	1	2	1	0	2	1	0	0	2	1	0	0	1	1	0	0	5	2	0	0	0
Zotu5466	3	2	3	0	1	2	1	0	0	0	2	2	1	1	0	2	0	1	1	1	0	0	0	0
Zotu6856	2	0	1	0	0	0	0	0	0	0	1	1	1	0	2	0	2	2	0	1	0	1	4	0
Zotu13443	1	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
Zotu10406	3	1	5	0	1	0	1	2	0	0	0	1	0	0	0	0	2	0	0	0	1	2	0	0
Zotu1788	2	1	4	1	3	0	2	9	1	0	4	5	0	9	3	3	0	16	6	0	0	2	0	0
Zotu3123	0	1	1	0	3	5	0	5	2	0	3	1	4	2	1	1	0	1	2	0	2	1	0	2
Zotu9243	1	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Zotu10430	2	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Zotu1790	0	0	0	0	4	4	25	0	0	0	0	0	0	0	2	0	1	0	0	0	9	0	6	2
Zotu6675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	1
Zotu2025	1	1	4	0	2	5	2	7	2	16	1	11	4	3	1	1	1	2	2	0	0	0	0	1
